number,title,group_name,subgroup_name
169,"Trwa jeszcze łaska Boża","II. Droga Zbawienia","7. Wezwanie do Jezusa"
170,"Pójdź tylko do Mnie","II. Droga Zbawienia","7. Wezwanie do Jezusa"
171,"Próżne są wymówki twe","II. Droga Zbawienia","7. Wezwanie do Jezusa"
172,"Przecudna wieść w świat cały płynie","II. Droga Zbawienia","7. Wezwanie do Jezusa"
173,"Stań, bracie miły, stań!","II. Droga Zbawienia","7. Wezwanie do Jezusa"
174,"Tak blisko, celu","II. Droga Zbawienia","7. Wezwanie do Jezusa"
175,"Znam słówko małe","II. Droga Zbawienia","7. Wezwanie do Jezusa"
176,"Znam strumień, co płynie","II. Droga Zbawienia","7. Wezwanie do Jezusa"
177,"Boże mój, który widzisz","II. Droga Zbawienia","8. Przebudzenie i pokuta"
178,"Bracie, skądże twe starania","II. Droga Zbawienia","8. Przebudzenie i pokuta"
179,"Czy ty od grzechów wolnym być tu chcesz","II. Droga Zbawienia","8. Przebudzenie i pokuta"
180,"Gdzie znajdę Pana","II. Droga Zbawienia","8. Przebudzenie i pokuta"
181,"Gdzież mi pociechy szukać lub nadziei","II. Droga Zbawienia","8. Przebudzenie i pokuta"
182,"Jezus grzesznych przyjąć chce!","II. Droga Zbawienia","8. Przebudzenie i pokuta"
183,"Jezus zdradzony, zupełnie Sam","II. Droga Zbawienia","8. Przebudzenie i pokuta"
184,"Idź łzy otrzyj swoje","II. Droga Zbawienia","8. Przebudzenie i pokuta"
185,"Kiedy w serce w grzech wplątane","II. Droga Zbawienia","8. Przebudzenie i pokuta"
186,"Na krzyżum przelał krew","II. Droga Zbawienia","8. Przebudzenie i pokuta"
187,"Kto wiary spojrzenie skieruje na krzyż","II. Droga Zbawienia","8. Przebudzenie i pokuta"
188,"Nie zapomnij, nie zapomnij","II. Droga Zbawienia","8. Przebudzenie i pokuta"
189,"Nie błądź, nie błądź!","II. Droga Zbawienia","8. Przebudzenie i pokuta"
190,"O Boże, proszę","II. Droga Zbawienia","8. Przebudzenie i pokuta"
191,"Padnij pod krzyżem!","II. Droga Zbawienia","8. Przebudzenie i pokuta"
192,"O, mów, czy krew Swą wylał Pan","II. Droga Zbawienia","8. Przebudzenie i pokuta"
193,"O smutny, bolesny to stan","II. Droga Zbawienia","8. Przebudzenie i pokuta"
194,"Panie, w Swym słowie do nas przemawiasz","II. Droga Zbawienia","8. Przebudzenie i pokuta"
195,"Po dwóch drogach","II. Droga Zbawienia","8. Przebudzenie i pokuta"
196,"Pośpiesz, pośpiesz do pokutowania","II. Droga Zbawienia","8. Przebudzenie i pokuta"
197,"Prócz liści nic","II. Droga Zbawienia","8. Przebudzenie i pokuta"
198,"Daj się całkiem dziś uchwycić","II. Droga Zbawienia","9. Oddanie się panu"
199,"Długo światła szukaliśmy","II. Droga Zbawienia","9. Oddanie się panu"
200,"Gdzieżeś, ukochany mój Jezu Chryste?","II. Droga Zbawienia","9. Oddanie się panu"
201,"Jak Sam, Panie, chcesz, niech będzie ","II. Droga Zbawienia","9. Oddanie się panu"
202,"Hymn wdzięczności płynie z duszy","II. Droga Zbawienia","9. Oddanie się panu"
203,"Ja, o Panie, i mój dom","II. Droga Zbawienia","9. Oddanie się panu"
204,"Ja pójdę z Tobą, dokąd chcesz","II. Droga Zbawienia","9. Oddanie się panu"
205,"Któż poznał myśli Pana","II. Droga Zbawienia","9. Oddanie się panu"
206,"Nie omijaj mnie","II. Droga Zbawienia","9. Oddanie się panu"
207,"O, Jezusie, zbaw mą duszę!","II. Droga Zbawienia","9. Oddanie się panu"
208,"O, pójdźcie, posłuchajcie","II. Droga Zbawienia","9. Oddanie się panu"
209,"Przy tym pozostanę już","II. Droga Zbawienia","9. Oddanie się panu"
210,"Rzuć, człowiecze, marny świat","II. Droga Zbawienia","9. Oddanie się panu"
211,"Skało, którą rozwarł Bóg","II. Droga Zbawienia","9. Oddanie się panu"
212,"Stwórz serce czyste we mnie","II. Droga Zbawienia","9. Oddanie się panu"
213,"Tak jakim jest","II. Droga Zbawienia","9. Oddanie się panu"
214,"To wcale nie taki wielki trud","II. Droga Zbawienia","9. Oddanie się panu"
215,"Weźmij, Jezu, życie me","II. Droga Zbawienia","9. Oddanie się panu"
216,"Tu serce me!","II. Droga Zbawienia","9. Oddanie się panu"
217,"Ujmij mą dłoń!","II. Droga Zbawienia","9. Oddanie się panu"
218,"W niebie wielka radość","II. Droga Zbawienia","9. Oddanie się panu"
219,"W Swej litości, łaskawości","II. Droga Zbawienia","9. Oddanie się panu"
220,"Wszystko Tobie dziś oddaję","II. Droga Zbawienia","9. Oddanie się panu"
221,"Wybrać mi radzono skarb","II. Droga Zbawienia","9. Oddanie się panu"
222,"Ach, oby Zbawcy wzór cierpienia","II. Droga Zbawienia","10. Odrodzenie"
223,"Bez zasług mych ukochał mnie","II. Droga Zbawienia","10. Odrodzenie"
224,"Chcę kochać Ciebie, Boży Synu","II. Droga Zbawienia","10. Odrodzenie"
225,"Jest źródło","II. Droga Zbawienia","10. Odrodzenie"
226,"Jam Twą własnością!","II. Droga Zbawienia","10. Odrodzenie"
227,"Niewinny Ty Baranku Boży","II. Droga Zbawienia","10. Odrodzenie"
228,"Jezu, ma radości","II. Droga Zbawienia","10. Odrodzenie"
229,"O, Miłości, coś raczyła","II. Droga Zbawienia","10. Odrodzenie"
230,"Jezusowi chcę poświęcić","II. Droga Zbawienia","10. Odrodzenie"
231,"Jezu Ty kochasz mnie wieczną miłością","II. Droga Zbawienia","10. Odrodzenie"
232,"Kiedy żyłem w grzechach swych","II. Droga Zbawienia","10. Odrodzenie"
233,"Znalazłem grunt, gdzie ma kotwica","II. Droga Zbawienia","10. Odrodzenie"
234,"Miłości, wnieś słoneczny brzask","II. Droga Zbawienia","10. Odrodzenie"
235,"Miłość Boża granic nie ma","II. Droga Zbawienia","10. Odrodzenie"
236,"Zbawił mnie Pan!","II. Droga Zbawienia","10. Odrodzenie"
237,"Nie mogę pojąć, jak Tyś - święty Bóg","II. Droga Zbawienia","10. Odrodzenie"
238,"Tylko Ciebie, Jezu drogi","II. Droga Zbawienia","10. Odrodzenie"
239,"Nie należę już do siebie","II. Droga Zbawienia","10. Odrodzenie"
240,"Nie wiem, dlaczego miłość Swą","II. Droga Zbawienia","10. Odrodzenie"
241,"Nie znałem Jezusa","II. Droga Zbawienia","10. Odrodzenie"
242,"Odpuszczone są me winy","II. Droga Zbawienia","10. Odrodzenie"
243,"O, Jezu grzechy moje","II. Droga Zbawienia","10. Odrodzenie"
244,"Rozkoszy pełne miejsce znam","II. Droga Zbawienia","10. Odrodzenie"
245,"Samotny wśród morskich","II. Droga Zbawienia","10. Odrodzenie"
246,"Spełniło się teraz!","II. Droga Zbawienia","10. Odrodzenie"
247,"Śmiem w to wierzyć i wiedzieć","II. Droga Zbawienia","10. Odrodzenie"
248,"Ty tylko, Jezu","II. Droga Zbawienia","10. Odrodzenie"
249,"Ułaskawienia dostąpiłem","II. Droga Zbawienia","10. Odrodzenie"
250,"Z pokorą, z podziwem spoglądam","II. Droga Zbawienia","10. Odrodzenie"
251,"Z mych tysięcy godzin życia","II. Droga Zbawienia","10. Odrodzenie"
252,"W mą duszę promień słońca padł","II. Droga Zbawienia","10. Odrodzenie"
253,"Bliżej, o, bliżej","II. Droga Zbawienia","11. Poświęcenie"
254,"Błogo, o, błogo pokojem Twym żyć","II. Droga Zbawienia","11. Poświęcenie"
255,"Gdy spojrzę tylko na cudowny krzyż","II. Droga Zbawienia","11. Poświęcenie"
256,"Być, Jezu, Twym","II. Droga Zbawienia","11. Poświęcenie"
257,"Daj serce dla chwały Twej","II. Droga Zbawienia","11. Poświęcenie"
258,"Duchowi Świętemu, gdy karać cię chce","II. Droga Zbawienia","11. Poświęcenie"
259,"Drogą jasną, ścieżką prostą","II. Droga Zbawienia","11. Poświęcenie"
260,"Gdyś się całkiem oddał Panu","II. Droga Zbawienia","11. Poświęcenie"
261,"Głębiej, o, głębiej ukorzyć się chcę","II. Droga Zbawienia","11. Poświęcenie"
262,"Królu mój, Królu chwały","II. Droga Zbawienia","11. Poświęcenie"
263,"Jam nie swój, nie, jam zwolniony","II. Droga Zbawienia","11. Poświęcenie"
264,"Jam w grzechach niegdyś martwy był","II. Droga Zbawienia","11. Poświęcenie"
265,"Jedno w sercu, jedno mam życzenie","II. Droga Zbawienia","11. Poświęcenie"
266,"O, imię najzacniejsze","II. Droga Zbawienia","11. Poświęcenie"
267,"Jestem, Panie, Twój","II. Droga Zbawienia","11. Poświęcenie"
268,"Już bez zakonu — o, błogie życie","II. Droga Zbawienia","11. Poświęcenie"
269,"Jezusa krew, teń święty zdrój","II. Droga Zbawienia","11. Poświęcenie"
270,"O Panie, pragnie dusza ma","II. Droga Zbawienia","11. Poświęcenie"
271,"Jezus Chrystus — brzmi poselstwo","II. Droga Zbawienia","11. Poświęcenie"
